ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
177,Peravurani,ASHOKKUMAR. N,DMK,60919,176274,213946,82.39,GEN,Delta,"ASHOKKUMAR, N.",DMK,89130,170850,221825,77.02,5.3700000000000045,False,34.56,52.17,23503,3162
178,Gandharvakottai,N. SUBRAMANIAN,TVK,58795,167618,196024,85.51,SC,Delta,M.Chinnadurai,CPI(M),69710,157620,211713,74.45,11.060000000000002,True,35.08,44.23,12721,11039
179,Viralimalai,VIJAYABASKAR. C,AIADMK,105773,203921,225090,90.6,GEN,Delta,VIJAYA BASKER C,AIADMK,102179,193423,226411,85.43,5.1699999999999875,False,51.87,52.83,23598,62073
180,Pudukkottai,V. MUTHURAJA,DMK,66825,190378,225944,84.26,GEN,Delta,V . MUTHURAJA,DMK,85802,179892,246630,72.94,11.320000000000007,False,35.1,47.7,13001,1867
181,Thirumayam,REGUPATHY.S,DMK,58201,182612,220568,82.79,GEN,Delta,S.REGUPATHY,DMK,71349,174031,229441,75.85,6.940000000000012,False,31.87,41.0,1382,1492
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,64929,180483,212078,85.1,GEN,Delta,SIVA.V.MEYYANATHAN,DMK,87935,171842,218991,78.47,6.6299999999999955,False,35.98,51.17,25847,12977
183,Aranthangi,MOHAMED FARVAS. J,TVK,73244,182730,229792,79.52,GEN,Delta,RAMACHANDRAN T,INC,81835,168048,239351,70.21,9.310000000000002,True,40.08,48.7,30893,10062
184,Karaikudi,DR.PRABHU. TK,TVK,101358,229267,305925,74.94,GEN,South,S.Mangudi,INC,75954,212456,320785,66.23,8.709999999999994,True,44.21,35.75,21589,46074
185,Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,215710,275904,78.18,GEN,South,KR.PERIYAKARUPPAN,DMK,103682,210766,292812,71.98,6.200000000000003,True,38.65,49.19,37374,1
186,Sivaganga,KULANTHAI RANI A,TVK,73737,214067,278124,76.97,GEN,South,PR. Senthilnathan,AIADMK,82153,202044,304788,66.29,10.679999999999993,True,34.45,40.66,11253,15081
187,Manamadurai,ELANGOVAN.D,TVK,69971,208643,259382,80.44,SC,South,Tamilarasi A.,DMK,89364,203061,281833,72.05,8.39,True,33.54,44.01,14091,1208
188,Melur,P.VISWANATHAN,INC,60080,190726,229821,82.99,GEN,South,PERIYAPULLAN @ SELVAM  P.,AIADMK,83344,182782,246237,74.23,8.759999999999991,True,31.5,45.6,35162,2724
189,Madurai East,KARTHIKEYAN S,TVK,118777,271566,336527,80.7,GEN,South,MOORTHY P,DMK,122729,237892,333462,71.34,9.36,True,43.74,51.59,49604,16547
190,Sholavandan,KARUPPAIAH.M.V,TVK,63907,189080,214785,88.03,SC,South,VENKATESAN A,DMK,84240,175361,220608,79.49,8.540000000000006,True,33.8,48.04,17045,2678
